model,prompt,Mutation,Code Difference,Requested,iteration
gpt-3.5-turbo,exp1,0,0.0,0.0,0
gpt-3.5-turbo,exp1,0,0.06181818181818182,0.196,1
gpt-3.5-turbo,exp1,0,0.12123855211513301,0.054000000000000006,2
gpt-3.5-turbo,exp1,0,0.3062125512456638,0.017,3
gpt-3.5-turbo,exp1,0,0.1492295214922952,0.203,4
gpt-3.5-turbo,exp1,0,0.043197102948784274,0.19,5
gpt-3.5-turbo,exp1,0,0.07220398889169402,0.06,6
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,7
gpt-3.5-turbo,exp1,0,0.0,0.045,8
gpt-3.5-turbo,exp1,0,0.0,0.034,9
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,10
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,11
gpt-3.5-turbo,exp1,0,0.0,0.315,12
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,13
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,14
gpt-3.5-turbo,exp1,0,1.4736177732895734,0.022000000000000002,15
gpt-3.5-turbo,exp1,0,0.0,0.022000000000000002,16
gpt-3.5-turbo,exp1,0,0.0,0.045,17
gpt-3.5-turbo,exp1,0,0.0,0.034,18
gpt-3.5-turbo,exp1,0,0.0,0.022000000000000002,19
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,20
gpt-3.5-turbo,exp1,0,0.0,0.034,21
gpt-3.5-turbo,exp1,0,0.0,0.022000000000000002,22
gpt-3.5-turbo,exp1,0,0.0,0.146,23
gpt-3.5-turbo,exp1,0,0.1566452185489239,0.303,24
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,25
gpt-3.5-turbo,exp1,0,0.0,0.045,26
gpt-3.5-turbo,exp1,0,0.0,0.034,27
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,28
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,29
gpt-3.5-turbo,exp1,0,0.0,0.315,30
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,31
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,32
gpt-3.5-turbo,exp1,0,0.0,0.022000000000000002,33
gpt-3.5-turbo,exp1,0,0.0,0.079,34
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,35
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,36
gpt-3.5-turbo,exp1,0,0.0,0.20199999999999999,37
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,38
gpt-3.5-turbo,exp1,0,0.0,0.022000000000000002,39
gpt-3.5-turbo,exp1,0,0.0,0.022000000000000002,40
gpt-3.5-turbo,exp1,0,0.0,0.067,41
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,42
gpt-3.5-turbo,exp1,0,0.0,0.022000000000000002,43
gpt-3.5-turbo,exp1,0,0.0,0.045,44
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,45
gpt-3.5-turbo,exp1,0,0.0,0.022000000000000002,46
gpt-3.5-turbo,exp1,0,0.12799798030800302,0.055999999999999994,47
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,48
gpt-3.5-turbo,exp1,0,0.0,0.045,49
gpt-3.5-turbo,exp1,0,0.0,0.034,50
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,51
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,52
gpt-3.5-turbo,exp1,0,0.05330748727889508,0.315,53
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,54
gpt-3.5-turbo,exp1,0,0.0,0.045,55
gpt-3.5-turbo,exp1,0,0.0,0.034,56
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,57
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,58
gpt-3.5-turbo,exp1,0,0.06339220904911687,0.315,59
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,60
gpt-3.5-turbo,exp1,0,0.0,0.045,61
gpt-3.5-turbo,exp1,0,0.0,0.034,62
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,63
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,64
gpt-3.5-turbo,exp1,0,0.0,0.315,65
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,66
gpt-3.5-turbo,exp1,0,0.16208028275687958,0.011000000000000001,67
gpt-3.5-turbo,exp1,0,0.0,0.022000000000000002,68
gpt-3.5-turbo,exp1,0,0.0,0.034,69
gpt-3.5-turbo,exp1,0,0.0,0.055999999999999994,70
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,71
gpt-3.5-turbo,exp1,0,0.0,0.034,72
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,73
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,74
gpt-3.5-turbo,exp1,0,0.0,0.337,75
gpt-3.5-turbo,exp1,0,0.6301439030547842,0.225,76
gpt-3.5-turbo,exp1,0,0.0,0.034,77
gpt-3.5-turbo,exp1,0,0.0,0.11199999999999999,78
gpt-3.5-turbo,exp1,0,0.0,0.034,79
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,80
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,81
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,82
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,83
gpt-3.5-turbo,exp1,0,0.6076748295884877,0.022000000000000002,84
gpt-3.5-turbo,exp1,0,0.0,0.022000000000000002,85
gpt-3.5-turbo,exp1,0,0.0,0.045,86
gpt-3.5-turbo,exp1,0,0.0,0.034,87
gpt-3.5-turbo,exp1,0,0.0,0.022000000000000002,88
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,89
gpt-3.5-turbo,exp1,0,0.0,0.034,90
gpt-3.5-turbo,exp1,0,0.0,0.022000000000000002,91
gpt-3.5-turbo,exp1,0,0.0,0.146,92
gpt-3.5-turbo,exp1,0,0.0,0.303,93
gpt-3.5-turbo,exp1,0,0.0,0.011000000000000001,94
gpt-3.5-turbo,exp1,0,0.0603448275862069,0.079,95
gpt-3.5-turbo,exp1,0,0.0,0.034,96
gpt-3.5-turbo,exp1,0,0.0,0.067,97
gpt-3.5-turbo,exp1,0,1.1974248927038627,0.011000000000000001,98
gpt-3.5-turbo,exp1,0,0.8621560212067659,0.022000000000000002,99
gpt-3.5-turbo,exp1,0,0.0,0.0,0
gpt-3.5-turbo,exp1,0,0.0,0.2,1
gpt-3.5-turbo,exp1,0,0.4660831509846827,0.04,2
gpt-3.5-turbo,exp1,0,0.0,0.025,3
gpt-3.5-turbo,exp1,0,0.0,0.45,4
gpt-3.5-turbo,exp1,0,0.1713747645951036,0.025,5
gpt-3.5-turbo,exp1,0,0.0,0.023,6
gpt-3.5-turbo,exp1,0,0.0,0.455,7
gpt-3.5-turbo,exp1,0,0.07919075144508671,0.023,8
gpt-3.5-turbo,exp1,0,0.0,0.068,9
gpt-3.5-turbo,exp1,0,0.5053358443188951,0.045,10
gpt-3.5-turbo,exp1,0,0.0,0.023,11
gpt-3.5-turbo,exp1,0,0.0,0.455,12
gpt-3.5-turbo,exp1,0,0.0,0.023,13
